country,city,arrival,departure,purpose
Poland,Krakow,2025-08-30,2025-09-06,Talk - Glances@Manifolds-2025
Japan,Fukuoka,2025-08-04,2025-08-09,Talk - TDA and Industrial Mathematics Workshop
China,Dalian,2024-09-23,2024-09-27,Talk - Dalian International Conference on Mathematics
Canada,Toronto,2024-08-18,2024-08-24,Talk - Workshop on Toric Topology
United Kingdom,Bath,2024-07-10,2024-07-22,Outreach - IMO 65 (Leader)
Japan,Chiba,2023-07-02,2023-07-13,Outreach - IMO 64 (Leader)
Canada,Toronto,2020-01-19,2020-01-25,Talk - Polyhedral Products Workshop
United Kingdom,Bath,2019-07-10,2019-07-22,Outreach - IMO 60 (Deputy Leader)
Japan,Okayama,2019-11-18,2019-11-23,Talk - Toric Topology 2019
China,Chengdu,2019-11-08,2019-11-12,Talk - PPICTA 2019
Romania,Cluj-Napoca,2018-07-03,2018-07-14,Outreach - IMO 59 (Deputy Leader)
Russia,Moscow,2018-05-23,2018-05-30,Talk - Algebraic Topology/Combinatorics/Math Physics
Brazil,Rio de Janeiro,2017-07-11,2017-07-24,Outreach - IMO 58 (Deputy Leader)
Italy,Catania,2017-05-30,2017-06-05,Talk - Encounter in Topology 'n Algebra
USA,Edinburg TX,2017-04-24,2017-05-02,Talk - UTRGV Colloquium
Canada,London ON,2017-11-22,2017-11-22,Talk - Western Univ. Invited Talk
USA,Princeton NJ,2017-11-30,2017-11-30,Talk - Princeton Algebraic Topology Seminar
Romania,Bucharest,2016-02-23,2016-02-29,Outreach - RMM 8 (Deputy Leader)
Japan,Osaka,2016-07-27,2016-08-02,Talk - Osaka City Univ. Invited Seminar
China,Shanghai,2016-01-02,2016-01-15,Talk - Fudan Univ. Invited Series Seminar
Thailand,Chiang Mai,2015-07-08,2015-07-17,Outreach - IMO 56 (Deputy Leader)
China,Beijing,2015-10-25,2015-10-28,Talk - Chinese-Russian Conference
Canada,Regina SK,2015-08-15,2015-08-23,Talk - Combinatorial Constructions in Topology
USA,Princeton NJ,2015-03-18,2015-03-22,Talk - Geometry and Topology
United Kingdom,Southampton,2015-02-01,2015-02-07,Talk - Univ. of Southampton Topology Seminar
Italy,Pisa,2015-02-08,2015-02-28,Talk - Perspectives in Lie Theory Session
China,Beijing,2013-12-01,2013-12-07,Talk - EACAT 5
Russia,Khabarovsk,2013-09-02,2013-09-07,Talk - Torus Actions Conference
USA,Princeton NJ,2013-02-20,2013-02-23,Talk - Princeton Algebraic Topology Seminar
USA,Minneapolis MN,2013-02-12,2013-02-20,Talk - Univ. of Minnesota Combinatorics Seminar
Japan,Osaka,2013-01-15,2013-02-01,Talk - Osaka City Univ. Invited Seminar
Japan,Osaka,2012-11-16,2012-11-20,Talk - Toric Topology 2012
USA,Lawrenceville NJ,2012-02-23,2012-02-25,Talk - Princeton-Rider Workshop
USA,Princeton NJ,2012-02-01,2012-02-28,Talk - Princeton Algebraic Topology Seminar
Japan,Osaka,2011-11-27,2011-11-30,Talk - Toric Topology 2011
Russia,Khabarovsk,2011-09-07,2011-09-10,Talk - Toric Topology and Automorphic Functions
United Kingdom,Belfast,2011-07-17,2011-07-21,Talk - Toric Methods Conference
Germany,Bonn,2011-07-10,2011-07-15,Talk - MPIM Invited Seminar
Japan,Kyoto,2011-01-12,2011-01-12,Talk - Workshop for Prof. Kitada Retirement
Japan,Kyushu,2010-11-23,2010-11-24,Talk - 37th Symposium of Transformation Groups
Canada,Banff AB,2010-11-07,2010-11-17,Talk - BIRS Workshop
Japan,Kyushu,2010-10-31,2010-11-03,Talk - Homotopy Theory Symposium
Switzerland,Fribourg,2010-09-16,2010-09-18,Talk - Workshop on Geometry & Topology
Italy,Milan,2010-09-13,2010-09-15,Talk - GAF Conference
Japan,Kyoto,2010-08-30,2010-09-03,Talk - RIMS Conference
Russia,Moscow,2010-08-16,2010-08-20,Talk - Geometry/Topology/Algebra/Number Theory
China,Beijing,2010-06-28,2010-07-02,Talk - Intl. Conference on Algebraic and Geometric Topology
China,Shanghai,2010-05-02,2010-05-05,Talk - Fudan Workshop on Toric Topology
Japan,Okayama,2010-04-13,2010-04-13,Talk - Okayama Univ. Invited Seminar
Japan,Himeji,2010-04-10,2010-04-11,Talk - Toric Topology 2010 in Himeji
Japan,Tokyo,2010-03-06,2010-03-07,Talk - Ikuta Seminar on Toric Topology
Japan,Kyoto,2009-08-16,2009-08-21,Talk - Transformation Groups from a New Viewpoint
Vietnam,Hanoi,2009-12-14,2009-12-18,Talk - EACAT 3
Slovakia,Bratislava,2009-09-07,2009-09-11,Talk - Bratislava Topology Symposium
Singapore,Singapore,2008-12-14,2008-12-21,Talk - EACAT 2
United Kingdom,Manchester,2008-07-06,2008-07-12,Talk - New Horizons in Toric Topology
Japan,Osaka,2007-07-16,2007-07-28,Talk - OCU Summer School
orthern Mariana Islands,Saipan,2007-06-26,2007-06-30,Trip
Indonesia,Bali,2017-09-03,2017-09-10,Trip - Honeymoon
Denmark,Cophenhagen,2014-11-09,2014-11-15,Conference-DCAT14
Japan,Osaka,2009-09-01,2011-02-19,JSPS Fellow
United Kingdom,London,2011-07-15,2011-07-17,Trip
USA,Newyork NY,2012-02-**,,Trip
Italy,Rome,2015-02-**,,Trip
Italy,Firenze,2015-02-**,,Trip
United Kingdom,Winchester,2015-02-**,,Trip
USA,Boston MA,2017-09-27,2018-01-01,Sabbatical
Japan,Yamaguchi,2017-04-02,2017-04-20,Research Visiting
Japan,Fukuoka,2017-04-**,,Trip
Japan,Kyoto,2026-01-20,2026-01-23,Research Visiting
Japan,Tokyo,2024-04-18,2024-04-20,한국학교방문_입학처
Vietnam,Hanoi,2025-03-12,2025-03-15,한국학교방문_입학처
Japan,Osaka,2025-10-01,2025-10-06,Research Visiting
China,Shijiazhuang,2025-05-11,2025-05-13,EACAT
Belgium,Brussels,2025-12-30,2026-01-11,Talk - ULB
Belgium,Antwerp,2026-01-**,,Trip
France,Paris,2026-01-**,,Trip
Japan,Osaka,2025-01-26,2025-02-01,Research Visiting
Japan,Nara,2025-01-**,,Trip
Hong Kong,Hong Kong,2024-09-13,2024-09-16,Trip
Japan,Himeji,2024-03-27,2024-03-31,Workshop
France,Paris,2022-12-20,2023-01-02,Research Visiting
Japan,Okinawa,2018-07-27,2018-08-02,Talk - Ryukyu Univ.
Japan,Osaka,2018-02-24,2018-02-27,Talk - Osaka City Univ.
Switzerland,Bern,2018-12-28,2019-01-05,Research Visiting
Switzerland,Fribourg,2019-01-**,,Trip
Japan,Fukuoka,2019-04-05,2019-04-08,Research Visiting
Singapore,Singapore,2015-08-25,2015-08-29,Conference
Japan,Osaka,2014-01-20,2014-01-23,Conference-Osaka TT workshop
Romania,Alba lulia,2013-06-25,2013-07-02,Conference-RMS-AMS
Japan,Osaka,2009-03-23,2009-03-27,Research Visiting
Japan,Osaka,2007-01-22,2007-02-03,Research Visiting
China,Shanghai,2008-01-28,2008-02-03,Research Visiting
Austria,Vienna,2010-09-15,2010-09-16,Trip
China,Shanghai,2012-01-08,2012-01-16,Research Visiting
Japan,Yamaguchi,2016-02-16,2016-02-19,Research Visiting
Japan,Fukuoka,2018-12-20,2018-12-24,Research Visiting
Japan,Fukuoka,2018-04-18,2018-04-20,Research Visiting
Japan,Yamaguchi,2016-11-15,2016-11-19,Research Visiting
Japan,Osaka,2014-12-02,2014-12-05,Research Visiting
Japan,Kyoto,2018-01-09,2018-01-13,교사연수
Japan,Osaka,2006-05-28,2006-06-03,Conference
China,Shanghai,2006-07-28,2006-08-03,Trip
China,Shanghai,2026-04-13,2026-04-19,Talk - Fudan Univ. Seminar
